"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Gender","Age","Qualification","Value","Value_type","Denominator","Numerator","Upper 95% C.I.","Lower 95% C.I."
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","Other qualifications","74.9","%","270621","202742","79","70.8"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","Other qualifications","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","Other qualifications","77.7","%","1390690","1080555","78.7","76.7"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","No qualifications","49.1","%","1470793","721793","50.2","48"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","No qualifications","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","No qualifications","58.3","%","165609","96631","64.1","52.6"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","No qualifications","40.7","%","52292","21288","51.7","29.7"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","No qualifications","59.7","%","56348","33658","70.1","49.4"
"% in employment","Other than White","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","No qualifications","54.5","%","289351","157561","59","49.9"
"% in employment","Unknown","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","No qualifications","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","No qualifications","50","%","1761061","879888","51","48.9"
"% in employment","White","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","Unknown","68.6","%","47900","32856","74.7","62.5"
"% in employment","Mixed","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Black or Black British","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Other","ONS 5+1","2012","Year","England, Scotland & Wales","Male","16-64","Unknown","?","%","?","?","?","?"
