"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Gender","Age","Qualification","Value","Value_type","Denominator","Numerator","Upper 95% C.I.","Lower 95% C.I."
"% in employment","Black or Black British","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","No qualifications","35.2","%","102913","36250","42.6","27.8"
"% in employment","Other","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","No qualifications","39.1","%","102650","40140","46.4","31.9"
"% in employment","Other than White","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","No qualifications","36.8","%","563952","207495","39.8","33.8"
"% in employment","Unknown","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","No qualifications","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","No qualifications","41.8","%","3365011","1405184","42.5","41"
"% in employment","White","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","Unknown","53.9","%","93588","50454","58.7","49.2"
"% in employment","Mixed","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Black or Black British","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Other","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Other than White","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Unknown","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","Unknown","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","Unknown","51.1","%","111408","56883","55.5","46.6"
"% in employment","White","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","All","76.8","%","31932713","24515211","77","76.6"
"% in employment","Mixed","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","All","69.9","%","385427","269343","73.6","66.2"
"% in employment","Asian or Asian British","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","All","67.8","%","2386313","1617092","69.2","66.3"
"% in employment","Black or Black British","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","All","68.7","%","1018625","699868","71","66.4"
"% in employment","Other","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","All","66.1","%","794581","525262","68.7","63.5"
"% in employment","Other than White","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","All","67.9","%","4584946","3111565","68.9","66.8"
"% in employment","Unknown","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","All","70","%","43847","30701","80.7","59.4"
"% in employment","All","ONS 5+1","2014","Year","England, Scotland & Wales","All","16-64","All","75.6","%","36561506","27657477","75.8","75.4"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","90.2","%","5658917","5103959","90.6","89.8"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","92.4","%","63046","58238","97.8","87"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","91.8","%","566849","520572","93.7","90"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","88.4","%","209504","185109","92.1","84.7"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","84.5","%","195663","165357","88.9","80.1"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","89.8","%","1035062","929276","91.3","88.2"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 4 and above","90.1","%","6703097","6041021","90.5","89.8"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 3","85.9","%","3146887.5","2704197","86.5","85.4"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 3","79","%","29364","23184","91.3","66.6"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 3","79.9","%","118168","94391","85.8","74"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 3","76.8","%","65277","50149.5","86","67.7"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 3","83.9","%","30404.5","25505.5","94.8","72.9"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 3","79.4","%","243213.5","193230","83.7","75.2"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 3","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 3","85.4","%","3394441","2900470.5","86","84.9"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 2","81.2","%","2813453.5","2285900","81.9","80.6"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 2","63.4","%","30978","19647","77.9","48.9"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 2","72","%","119088","85766","78.5","65.6"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 2","63.9","%","62589","39992.5","73.9","53.9"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 2","?","%","?","?","?","?"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 2","69.4","%","237141.5","164614","74.2","64.6"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 2","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Level 2","80.3","%","3052475","2451672.5","81","79.7"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Below Level 2","78.8","%","1842041","1451543","79.7","77.9"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Below Level 2","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Below Level 2","72.3","%","103193","74624","79.4","65.2"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Below Level 2","65.4","%","47263","30910","77.1","53.7"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Below Level 2","?","%","?","?","?","?"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Below Level 2","68.6","%","192079","131690","74","63.1"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Below Level 2","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","NQF Below Level 2","77.8","%","2035654","1584142","78.7","77"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","Other qualifications","83.2","%","1126392","937617","84.3","82.2"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","Other qualifications","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","Other qualifications","82.4","%","170951","140818","87","77.7"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","Other qualifications","74.5","%","55493","41361","84","65.1"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","Other qualifications","73.4","%","67216","49363","82.2","64.7"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","Other qualifications","78.8","%","306145","241158","82.5","75"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","Other qualifications","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","Other qualifications","82.3","%","1434350","1180346","83.2","81.4"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","No qualifications","52.8","%","1340368","708207","54","51.6"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","No qualifications","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","No qualifications","62.5","%","145561","90973","68.5","56.4"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","No qualifications","46.8","%","46848","21923","58.7","34.9"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","No qualifications","61.7","%","55626","34348","72.7","50.8"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","No qualifications","58.2","%","263613","153343","62.9","53.4"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","No qualifications","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","No qualifications","53.7","%","1605593","862274","54.8","52.6"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","Unknown","72.4","%","56023","40566","78.1","66.7"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","Unknown","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","Unknown","65.9","%","68318","44997","71.4","60.3"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","All","82.8","%","15984082","13231989","83.1","82.5"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","All","74.9","%","170500","127665","80.2","69.5"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","All","82.2","%","1228063","1009642","84","80.5"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","All","75.9","%","488887","370952","79.1","72.7"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","All","77.7","%","397722","309106","81.2","74.3"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","All","79.5","%","2285172","1817365","80.9","78.2"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","All","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","Male","16-64","All","82.3","%","18293928","15064923","82.6","82.1"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 4 and above","84","%","6279971","5277071","84.4","83.6"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 4 and above","83.7","%","95575","80025","89.8","77.7"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 4 and above","71.4","%","517294","369093","74.4","68.3"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 4 and above","81.6","%","273369","222962","85.4","77.8"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 4 and above","69.6","%","203685","141743","74.7","64.5"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 4 and above","74.7","%","1089923","813823","76.7","72.6"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 4 and above","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 4 and above","82.7","%","7379691","6100008","83.1","82.3"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 3","78.6","%","2585312","2032606","79.3","77.9"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 3","77.4","%","31396.5","24301","89.3","65.5"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 3","62.5","%","124485.5","77860.5","69.1","56"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 3","69.6","%","90925.5","63251.5","77.5","61.6"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 3","63.8","%","36155.5","23058.5","76.5","51"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 3","66.6","%","282963","188471.5","71","62.2"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 3","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 3","77.4","%","2870464.5","2221800.5","78.1","76.7"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 2","70.7","%","2971755","2099957","71.4","69.9"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 2","61.1","%","35133.5","21483","73.4","48.9"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 2","45.4","%","118732.5","53896.5","52.2","38.6"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 2","63.9","%","85662.5","54726.5","72.2","55.6"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 2","54.9","%","27655.5","15185.5","70","39.8"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 2","54.4","%","267184","145291.5","59","49.7"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 2","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Level 2","69.3","%","3242538.5","2247722.5","70","68.6"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Below Level 2","61.9","%","1991443","1233359","62.9","61"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Below Level 2","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Below Level 2","35.4","%","97044","34320","42.7","28.1"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Below Level 2","52.4","%","58359","30591","63.1","41.7"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Below Level 2","37.1","%","26882","9970","51.2","23"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Below Level 2","41.8","%","203119","84920","47.2","36.5"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Below Level 2","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","NQF Below Level 2","60.1","%","2195733","1319450","61","59.2"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","Other qualifications","66.7","%","787720","525169","68.1","65.2"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","Other qualifications","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","Other qualifications","44.8","%","143497","64302","51","38.6"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","Other qualifications","55.8","%","61514","34325","66","45.6"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","Other qualifications","50.8","%","64589","32820","60.6","41"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","Other qualifications","49.5","%","279541","138430","54.1","44.9"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","Other qualifications","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","Other qualifications","62.2","%","1069090","665013","63.5","60.9"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","No qualifications","36.9","%","1382069","510609","38","35.9"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","No qualifications","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","No qualifications","20.4","%","189856","38796","24.7","16.2"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","No qualifications","41","%","56832","23286","51.2","30.7"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","No qualifications","26.8","%","56586","15145","35.9","17.6"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","No qualifications","25.6","%","315218","80546","29.2","21.9"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","No qualifications","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","No qualifications","34.9","%","1698943","592529","35.9","33.9"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","Unknown","53.4","%","37808","20194","60.7","46.1"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","Unknown","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","Unknown","49.7","%","51228","25470","56.1","43.3"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","All","73","%","16036078","11698965","73.3","72.6"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","All","70.9","%","206746","146485","75.8","65.9"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","All","53.6","%","1194979","640692","55.8","51.4"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","All","68.4","%","629302","430551","71.4","65.4"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","All","57.2","%","417454","238928","61","53.4"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","All","59.5","%","2448481","1456656","61","58"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","All","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","Female","16-64","All","71.2","%","18507688","13171993","71.5","70.9"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 4 and above","87","%","11938888","10381030","87.2","86.7"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 4 and above","87.2","%","158621","138263","91.4","82.9"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 4 and above","82.1","%","1084143","889665","83.9","80.2"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 4 and above","84.5","%","482873","408071","87.2","81.8"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 4 and above","76.9","%","399348","307100","80.3","73.5"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 4 and above","82","%","2124985","1743099","83.4","80.7"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 4 and above","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 4 and above","86.2","%","14082788","12141029","86.5","85.9"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 3","82.6","%","5732199.5","4736803","83.1","82.2"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 3","78.2","%","60760.5","47485","86.7","69.6"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 3","71","%","242653.5","172251.5","75.5","66.5"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 3","72.6","%","156202.5","113401","78.6","66.6"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 3","73","%","66560","48564","81.8","64.2"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 3","72.5","%","526176.5","381701.5","75.7","69.4"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 3","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 3","81.8","%","6264905.5","5122271","82.2","81.3"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 2","75.8","%","5785208.5","4385857","76.3","75.3"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 2","62.2","%","66111.5","41130","71.6","52.9"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 2","58.7","%","237820.5","139662.5","63.6","53.9"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 2","63.9","%","148251.5","94719","70.3","57.5"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 2","66","%","52142","34394","76.3","55.6"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 2","61.4","%","504325.5","309905.5","64.8","58.1"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 2","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Level 2","74.7","%","6295013.5","4699395","75.1","74.2"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Below Level 2","70","%","3833484","2684902","70.7","69.4"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Below Level 2","53.3","%","39258","20920","66","40.5"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Below Level 2","54.4","%","200237","108944","59.9","48.9"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Below Level 2","58.2","%","105622","61501","66.2","50.3"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Below Level 2","50.4","%","50081","25245","61.3","39.5"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Below Level 2","54.8","%","395198","216610","58.8","50.9"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Below Level 2","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","NQF Below Level 2","68.6","%","4231387","2903592","69.3","68"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","Other qualifications","76.4","%","1914112","1462786","77.3","75.6"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","Other qualifications","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","Other qualifications","65.2","%","314448","205120","69.4","61.1"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","Other qualifications","64.7","%","117007","75686","71.8","57.6"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","Other qualifications","62.4","%","131805","82183","69.1","55.6"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","Other qualifications","64.8","%","585686","379588","67.9","61.7"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","Other qualifications","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","Other qualifications","73.7","%","2503440","1845359","74.5","72.9"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","No qualifications","44.8","%","2722437","1218816","45.6","43.9"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","No qualifications","34.2","%","27522","9418","48.3","20.1"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","No qualifications","38.7","%","335417","129769","42.6","34.8"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","No qualifications","43.6","%","103680","45209","51.4","35.8"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","No qualifications","44.1","%","112212","49493","51.7","36.6"
"% in employment","Other than White","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","No qualifications","40.4","%","578831","233889","43.5","37.3"
"% in employment","Unknown","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","No qualifications","?","%","?","?","?","?"
"% in employment","All","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","No qualifications","44","%","3304536","1454803","44.8","43.3"
"% in employment","White","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","Unknown","64.8","%","93831","60760","69.3","60.2"
"% in employment","Mixed","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Asian or Asian British","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Black or Black British","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","Unknown","?","%","?","?","?","?"
"% in employment","Other","ONS 5+1","2015","Year","England, Scotland & Wales","All","16-64","Unknown","?","%","?","?","?","?"
