region,lo,sex,grp,det,yr,n
East Midlands,10,Male,Mixed,White and Black African,2011,519
East Midlands,10,Male,Mixed,White and Black Caribbean,2011,3270
East Midlands,10,Male,Other,Any other ethnic group,2011,530
East Midlands,10,Male,Other,Arab,2011,325
East Midlands,10,Male,White,"English, Welsh, Scottish, Northern Irish or British",2011,137383
East Midlands,10,Male,White,Gypsy or Irish Traveller,2011,210
East Midlands,10,Male,White,Irish,2011,324
East Midlands,10,Male,White,Other White,2011,3535
East Midlands,16,Female,Asian,Bangladeshi,2011,424
East Midlands,16,Female,Asian,Chinese,2011,1060
East Midlands,16,Female,Asian,Indian,2011,4873
East Midlands,16,Female,Asian,Other Asian,2011,1035
East Midlands,16,Female,Asian,Pakistani,2011,1590
East Midlands,16,Female,Black,African,2011,1714
East Midlands,16,Female,Black,Caribbean,2011,764
East Midlands,16,Female,Black,Other Black,2011,342
East Midlands,16,Female,Mixed,Other Mixed or Multiple ethnic groups,2011,606
East Midlands,16,Female,Mixed,White and Asian,2011,1020
East Midlands,16,Female,Mixed,White and Black African,2011,271
East Midlands,16,Female,Mixed,White and Black Caribbean,2011,2376
East Midlands,16,Female,Other,Any other ethnic group,2011,380
East Midlands,16,Female,Other,Arab,2011,208
East Midlands,16,Female,White,"English, Welsh, Scottish, Northern Irish or British",2011,97615
East Midlands,16,Female,White,Gypsy or Irish Traveller,2011,103
East Midlands,16,Female,White,Irish,2011,264
East Midlands,16,Female,White,Other White,2011,2873
East Midlands,16,Male,Asian,Bangladeshi,2011,475
East Midlands,16,Male,Asian,Chinese,2011,1102
East Midlands,16,Male,Asian,Indian,2011,5144
East Midlands,16,Male,Asian,Other Asian,2011,1321
East Midlands,16,Male,Asian,Pakistani,2011,1757
East Midlands,16,Male,Black,African,2011,1577
East Midlands,16,Male,Black,Caribbean,2011,729
East Midlands,16,Male,Black,Other Black,2011,355
East Midlands,16,Male,Mixed,Other Mixed or Multiple ethnic groups,2011,603
East Midlands,16,Male,Mixed,White and Asian,2011,1027
East Midlands,16,Male,Mixed,White and Black African,2011,366
East Midlands,16,Male,Mixed,White and Black Caribbean,2011,2161
East Midlands,16,Male,Other,Any other ethnic group,2011,465
East Midlands,16,Male,Other,Arab,2011,289
East Midlands,16,Male,White,"English, Welsh, Scottish, Northern Irish or British",2011,101858
East Midlands,16,Male,White,Gypsy or Irish Traveller,2011,153
East Midlands,16,Male,White,Irish,2011,318
East Midlands,16,Male,White,Other White,2011,2517
East Midlands,20,Female,Asian,Bangladeshi,2011,613
East Midlands,20,Female,Asian,Chinese,2011,3918
East Midlands,20,Female,Asian,Indian,2011,7321
East Midlands,20,Female,Asian,Other Asian,2011,1864
East Midlands,20,Female,Asian,Pakistani,2011,1955
East Midlands,20,Female,Black,African,2011,2106
East Midlands,20,Female,Black,Caribbean,2011,1106
East Midlands,20,Female,Black,Other Black,2011,319
East Midlands,20,Female,Mixed,Other Mixed or Multiple ethnic groups,2011,827
East Midlands,20,Female,Mixed,White and Asian,2011,1020
East Midlands,20,Female,Mixed,White and Black African,2011,366
East Midlands,20,Female,Mixed,White and Black Caribbean,2011,2300
East Midlands,20,Female,Other,Any other ethnic group,2011,636
East Midlands,20,Female,Other,Arab,2011,372
East Midlands,20,Female,White,"English, Welsh, Scottish, Northern Irish or British",2011,119489
East Midlands,20,Female,White,Gypsy or Irish Traveller,2011,128
East Midlands,20,Female,White,Irish,2011,489
East Midlands,20,Female,White,Other White,2011,7925
East Midlands,20,Male,Asian,Bangladeshi,2011,606
East Midlands,20,Male,Asian,Chinese,2011,3645
East Midlands,20,Male,Asian,Indian,2011,7556
East Midlands,20,Male,Asian,Other Asian,2011,1829
East Midlands,20,Male,Asian,Pakistani,2011,2342
East Midlands,20,Male,Black,African,2011,1863
East Midlands,20,Male,Black,Caribbean,2011,977
East Midlands,20,Male,Black,Other Black,2011,369
East Midlands,20,Male,Mixed,Other Mixed or Multiple ethnic groups,2011,687
East Midlands,20,Male,Mixed,White and Asian,2011,1270
East Midlands,20,Male,Mixed,White and Black African,2011,376
East Midlands,20,Male,Mixed,White and Black Caribbean,2011,2341
East Midlands,20,Male,Other,Any other ethnic group,2011,757
East Midlands,20,Male,Other,Arab,2011,818
East Midlands,20,Male,White,"English, Welsh, Scottish, Northern Irish or British",2011,122078
East Midlands,20,Male,White,Gypsy or Irish Traveller,2011,171
East Midlands,20,Male,White,Irish,2011,536
East Midlands,20,Male,White,Other White,2011,6701
East Midlands,25,Female,Asian,Bangladeshi,2011,649
East Midlands,25,Female,Asian,Chinese,2011,1226
East Midlands,25,Female,Asian,Indian,2011,7726
East Midlands,25,Female,Asian,Other Asian,2011,1705
East Midlands,25,Female,Asian,Pakistani,2011,2464
East Midlands,25,Female,Black,African,2011,2005
East Midlands,25,Female,Black,Caribbean,2011,808
East Midlands,25,Female,Black,Other Black,2011,350
East Midlands,25,Female,Mixed,Other Mixed or Multiple ethnic groups,2011,644
East Midlands,25,Female,Mixed,White and Asian,2011,647
East Midlands,25,Female,Mixed,White and Black African,2011,242
East Midlands,25,Female,Mixed,White and Black Caribbean,2011,1491
East Midlands,25,Female,Other,Any other ethnic group,2011,826
East Midlands,25,Female,Other,Arab,2011,603
East Midlands,25,Female,White,"English, Welsh, Scottish, Northern Irish or British",2011,105012
East Midlands,25,Female,White,Gypsy or Irish Traveller,2011,132
East Midlands,25,Female,White,Irish,2011,475
East Midlands,25,Female,White,Other White,2011,12712
East Midlands,25,Male,Asian,Bangladeshi,2011,651
East Midlands,25,Male,Asian,Chinese,2011,1357
East Midlands,25,Male,Asian,Indian,2011,7518
East Midlands,25,Male,Asian,Other Asian,2011,1791
East Midlands,25,Male,Asian,Pakistani,2011,2392
East Midlands,25,Male,Black,African,2011,1864
East Midlands,25,Male,Black,Caribbean,2011,807
East Midlands,25,Male,Black,Other Black,2011,333
East Midlands,25,Male,Mixed,Other Mixed or Multiple ethnic groups,2011,613
East Midlands,25,Male,Mixed,White and Asian,2011,983
East Midlands,25,Male,Mixed,White and Black African,2011,320
East Midlands,25,Male,Mixed,White and Black Caribbean,2011,1599
East Midlands,25,Male,Other,Any other ethnic group,2011,1253
East Midlands,25,Male,Other,Arab,2011,852
East Midlands,25,Male,White,"English, Welsh, Scottish, Northern Irish or British",2011,103841
East Midlands,25,Male,White,Gypsy or Irish Traveller,2011,123
East Midlands,25,Male,White,Irish,2011,554
East Midlands,25,Male,White,Other White,2011,12013
East Midlands,30,Female,Asian,Bangladeshi,2011,697
East Midlands,30,Female,Asian,Chinese,2011,871
East Midlands,30,Female,Asian,Indian,2011,7439
East Midlands,30,Female,Asian,Other Asian,2011,2059
East Midlands,30,Female,Asian,Pakistani,2011,2337
East Midlands,30,Female,Black,African,2011,2454
East Midlands,30,Female,Black,Caribbean,2011,726
East Midlands,30,Female,Black,Other Black,2011,315
East Midlands,30,Female,Mixed,Other Mixed or Multiple ethnic groups,2011,526
East Midlands,30,Female,Mixed,White and Asian,2011,550
East Midlands,30,Female,Mixed,White and Black African,2011,273
East Midlands,30,Female,Mixed,White and Black Caribbean,2011,1095
East Midlands,30,Female,Other,Any other ethnic group,2011,673
East Midlands,30,Female,Other,Arab,2011,434
East Midlands,30,Female,White,"English, Welsh, Scottish, Northern Irish or British",2011,103042
East Midlands,30,Female,White,Gypsy or Irish Traveller,2011,118
East Midlands,30,Female,White,Irish,2011,574
East Midlands,30,Female,White,Other White,2011,9714
East Midlands,30,Male,Asian,Bangladeshi,2011,667
East Midlands,30,Male,Asian,Chinese,2011,822
East Midlands,30,Male,Asian,Indian,2011,7418
